,Year,Month,Month Code,District Code,District,Total SNAP Households,Total SNAP Persons,Total SNAP Benefits,Temporary Assistance SNAP Households,Temporary Assistance SNAP Persons,Temporary Assistance SNAP Benefits,Non-Temporary Assistance SNAP Households,Non-Temporary Assistance SNAP Persons,Non-Temporary Assistance SNAP Benefits,population,%Total SNAP Persons,%nyspopulation,Community District,Households Receiving SNAP Benefits,mean_population,%Individuals Receiving SNAP Benefits
0,2020,June,6.0,1.0,Albany,19242.0,35151,5874893.0,5815.0,7657.0,1364683.0,13427.0,27494.0,4510210.0,0,inf,0.2394854361214381,,,,
1,2020,May,5.0,1.0,Albany,19063.0,34859,6131723.0,5851.0,7811.0,1430643.0,13212.0,27048.0,4701080.0,0,inf,0.2394854361214381,,,,
2,2020,April,4.0,1.0,Albany,18611.0,33675,7436275.0,5878.0,7825.0,1671893.0,12733.0,25850.0,5764382.0,0,inf,0.2394854361214381,,,,
3,2020,March,3.0,1.0,Albany,17514.0,31697,4000134.0,5808.0,7807.0,1179476.0,11706.0,23890.0,2820658.0,0,inf,0.2394854361214381,,,,
4,2020,February,2.0,1.0,Albany,17308.0,31290,3947807.0,5840.0,7904.0,1194948.0,11468.0,23386.0,2752859.0,0,inf,0.2394854361214381,,,,
5,2020,January,1.0,1.0,Albany,17464.0,31630,4000453.0,5951.0,8066.0,1224636.0,11513.0,23564.0,2775817.0,0,inf,0.2394854361214381,,,,
6,2019,December,12.0,1.0,Albany,17405.0,31658,4031722.0,5873.0,8022.0,1227758.0,11532.0,23636.0,2803964.0,0,inf,0.2328271391546257,,,,
7,2019,November,11.0,1.0,Albany,17431.0,31770,4042487.0,5906.0,8111.0,1236691.0,11525.0,23659.0,2805796.0,0,inf,0.2328271391546257,,,,
8,2019,October,10.0,1.0,Albany,17514.0,31762,4059097.0,5920.0,8132.0,1243373.0,11594.0,23630.0,2815724.0,0,inf,0.2328271391546257,,,,
9,2019,September,9.0,1.0,Albany,17474.0,31806,4007529.0,5922.0,8142.0,1229277.0,11552.0,23664.0,2778252.0,0,inf,0.2328271391546257,,,,
10,2019,August,8.0,1.0,Albany,17509.0,31915,4025284.0,5982.0,8191.0,1241427.0,11527.0,23724.0,2783857.0,0,inf,0.2328271391546257,,,,
11,2019,July,7.0,1.0,Albany,17558.0,31957,4025929.0,5940.0,8113.0,1215922.0,11618.0,23844.0,2810007.0,0,inf,0.2328271391546257,,,,
12,2019,June,6.0,1.0,Albany,17489.0,31797,3985900.0,5904.0,8062.0,1204561.0,11585.0,23735.0,2781339.0,0,inf,0.2328271391546257,,,,
13,2019,May,5.0,1.0,Albany,17552.0,31820,3984954.0,5971.0,8119.0,1224905.0,11581.0,23701.0,2760049.0,0,inf,0.2328271391546257,,,,
14,2019,April,4.0,1.0,Albany,17564.0,31843,3988864.0,5975.0,8127.0,1211982.0,11589.0,23716.0,2776882.0,0,inf,0.2328271391546257,,,,
15,2019,March,3.0,1.0,Albany,17632.0,31990,4001551.0,5973.0,8195.0,1223814.0,11659.0,23795.0,2777737.0,0,inf,0.2328271391546257,,,,
16,2019,February,2.0,1.0,Albany,17488.0,31648,3996650.0,5930.0,8093.0,1214483.0,11558.0,23555.0,2782167.0,0,inf,0.2328271391546257,,,,
17,2019,January,1.0,1.0,Albany,17593.0,32075,4072301.0,6014.0,8294.0,1245181.0,11579.0,23781.0,2827120.0,0,inf,0.2328271391546257,,,,
18,2020,June,6.0,2.0,Allegany,2796.0,4852,788754.0,1036.0,1291.0,230772.0,1760.0,3561.0,557982.0,0,inf,0.2394854361214381,,,,
19,2020,May,5.0,2.0,Allegany,2863.0,5045,899006.0,1034.0,1298.0,242193.0,1829.0,3747.0,656813.0,0,inf,0.2394854361214381,,,,
20,2020,April,4.0,2.0,Allegany,2954.0,5090,1216075.0,1039.0,1302.0,288046.0,1915.0,3788.0,928029.0,0,inf,0.2394854361214381,,,,
21,2020,March,3.0,2.0,Allegany,2845.0,4953,566814.0,1043.0,1317.0,195056.0,1802.0,3636.0,371758.0,0,inf,0.2394854361214381,,,,
22,2020,February,2.0,2.0,Allegany,2865.0,5025,572276.0,1041.0,1327.0,197551.0,1824.0,3698.0,374725.0,0,inf,0.2394854361214381,,,,
23,2020,January,1.0,2.0,Allegany,2865.0,5016,565692.0,1041.0,1335.0,196621.0,1824.0,3681.0,369071.0,0,inf,0.2394854361214381,,,,
24,2019,December,12.0,2.0,Allegany,2854.0,4998,575818.0,1048.0,1351.0,199828.0,1806.0,3647.0,375990.0,0,inf,0.2328271391546257,,,,
25,2019,November,11.0,2.0,Allegany,2825.0,4954,569374.0,1045.0,1350.0,198580.0,1780.0,3604.0,370794.0,0,inf,0.2328271391546257,,,,
26,2019,October,10.0,2.0,Allegany,2843.0,5016,584564.0,1051.0,1372.0,202183.0,1792.0,3644.0,382381.0,0,inf,0.2328271391546257,,,,
27,2019,September,9.0,2.0,Allegany,2841.0,5024,577162.0,1044.0,1353.0,197255.0,1797.0,3671.0,379907.0,0,inf,0.2328271391546257,,,,
28,2019,August,8.0,2.0,Allegany,2853.0,5027,575506.0,1049.0,1344.0,196724.0,1804.0,3683.0,378782.0,0,inf,0.2328271391546257,,,,
29,2019,July,7.0,2.0,Allegany,2898.0,5141,585077.0,1068.0,1373.0,199405.0,1830.0,3768.0,385672.0,0,inf,0.2328271391546257,,,,
30,2019,June,6.0,2.0,Allegany,2930.0,5185,588571.0,1088.0,1393.0,202212.0,1842.0,3792.0,386359.0,0,inf,0.2328271391546257,,,,
31,2019,May,5.0,2.0,Allegany,2962.0,5296,603417.0,1083.0,1386.0,202524.0,1879.0,3910.0,400893.0,0,inf,0.2328271391546257,,,,
32,2019,April,4.0,2.0,Allegany,2984.0,5335,604462.0,1082.0,1372.0,201434.0,1902.0,3963.0,403028.0,0,inf,0.2328271391546257,,,,
33,2019,March,3.0,2.0,Allegany,3024.0,5471,617514.0,1082.0,1374.0,201989.0,1942.0,4097.0,415525.0,0,inf,0.2328271391546257,,,,
34,2019,February,2.0,2.0,Allegany,3017.0,5498,614925.0,1078.0,1369.0,201231.0,1939.0,4129.0,413694.0,0,inf,0.2328271391546257,,,,
35,2019,January,1.0,2.0,Allegany,3008.0,5512,619653.0,1077.0,1373.0,201051.0,1931.0,4139.0,418602.0,0,inf,0.2328271391546257,,,,
36,2020,June,6.0,3.0,Broome,15752.0,27100,4717933.0,6055.0,8101.0,1464201.0,9697.0,18999.0,3253732.0,0,inf,0.2394854361214381,,,,
37,2020,May,5.0,3.0,Broome,15866.0,27469,4862851.0,6064.0,8140.0,1498320.0,9802.0,19329.0,3364531.0,0,inf,0.2394854361214381,,,,
38,2020,April,4.0,3.0,Broome,16018.0,27136,6109247.0,6064.0,8135.0,1705557.0,9954.0,19001.0,4403690.0,0,inf,0.2394854361214381,,,,
39,2020,March,3.0,3.0,Broome,15407.0,26606,3392416.0,5969.0,8076.0,1258609.0,9438.0,18530.0,2133807.0,0,inf,0.2394854361214381,,,,
