index,fips,state,county_name,health_outcomes_r,health_factors_r,length_life_r,quality_life_r,yppl,%poor_fair_health,%adult_obesity,food_environment_index,graduation_cohort,graduation_rate,%some_college,life_expectancy,%diabetes,%food_insecure,%limited_access,household_income,%lunch_aid,%african_american,%american_indian,%asian,%pacific_islander,%hispanic,%white,year
0,36087,New York,Rockland,1,6,3,3,4272.9003327,14.089077993,23.7,8.8,3248.0,84.544334975,63.805615199,83.31287538,8.8,9.2,3.3375869996,87873,37.10640203,11.477857377,0.5251347045,6.4953111887,0.135920795,17.967391172,62.692022331,2019
1,36059,New York,Nassau,2,1,5,13,4300.0558408,12.252958119,23.2,9.7,16554.0,90.769602513,74.845910899,82.827126047,8.5,5.6,0.4682879003,107465,28.178347303,11.560597409,0.5328897697,10.133594837,0.0953622964,17.150609632,59.851450953,2019
2,36119,New York,Westchester,3,4,2,19,4144.3055499,14.281144617,20.7,9.2,11163.0,89.554779181,71.819317814,83.525185252,7.9,7.7,1.379185291,90483,36.438611685,13.732703286,0.9501715899,6.5284765834,0.1268051628,24.863197326,53.383545321,2019
3,36091,New York,Saratoga,4,2,6,4,4906.755021,11.160446393,26.4,8.9,2742.0,90.919037199,77.94701392,80.920520553,9.3,7.9,3.9844301672,82732,22.913952478,1.6944433569,0.2323062266,2.9499410534,0.0508985553,3.2309706833,90.299692434,2019
4,36061,New York,New York,5,12,1,30,3984.7121199,14.53223693,15.8,8.3,16235.0,74.536495226,83.735331773,84.516308209,7.0,13.3,0.0,84133,64.59436183,12.372358951,1.1838577737,12.98320986,0.1824323147,26.130530712,46.677563348,2019
5,36079,New York,Putnam,6,3,7,7,4962.2900766,11.38392841,23.1,9.4,1253.0,92.976855547,68.714209019,81.667767587,7.4,4.7,5.5641290842,98765,20.769825104,2.7264581215,0.4248764133,2.2502340848,0.0583953364,15.138487561,78.582000141,2019
6,36041,New York,Hamilton,7,18,27,1,,11.78317938,28.7,7.8,26.0,96.153846154,53.194444444,80.241625707,11.1,10.0,12.089693845,51520,39.485981308,0.9587513935,0.3121516165,0.7580824972,0.0891861761,1.6053511706,95.02787068,2019
7,36081,New York,Queens,8,27,4,36,4281.4750563,18.480500603,24.0,8.8,19467.0,77.854831253,63.762151343,83.612931785,10.6,10.9,0.0320444138,64046,68.12207303,17.817909235,1.3082012837,27.11798869,0.2230577525,28.006234254,24.989252017,2019
8,36069,New York,Ontario,9,11,15,6,5685.0039755,13.469964892,32.4,8.6,1264.0,89.873417722,72.536634664,80.033227463,10.5,9.2,5.2930531233,65271,35.80016717,2.2302295744,0.3530514381,1.300284807,0.0473161721,4.7771135315,89.985350185,2019
9,36031,New York,Essex,10,13,10,20,5214.244564,13.409501644,28.1,8.8,292.0,91.095890411,58.891402715,80.390775833,10.4,9.9,2.0934384206,52741,50.157270748,2.7505532722,0.6850036885,0.7930235009,0.0500579619,3.519865107,91.368953525,2019
